TM/HM #,Attack Name
TM02,Dragon Claw
TM03,Water Pulse
TM04,Calm Mind
TM05,Roar
TM06,Toxic
TM10,Hidden Power
TM11,Sunny Day
TM13,Ice Beam
TM15,Hyper Beam
TM16,Light Screen
TM17,Protect
TM18,Rain Dance
TM20,Safeguard
TM21,Frustration
TM22,Solarbeam
TM24,Thunderbolt
TM26,Earthquake
TM27,Return
TM29,Psychic
TM30,Shadow Ball
TM32,Double Team
TM33,Reflect
TM34,Shock Wave
TM37,Sandstorm
TM40,Aerial Ace
TM42,Facade
TM43,Secret Power
TM44,Rest
TM45,Attract
TM47,Steel Wing
HM01,Cut
HM02,Fly
HM03,Surf
HM05,Flash
HM07,Waterfall
HM08,Dive
DM01,Horizontal Cut
DM02,Vacuum Cut
