TM/HM #,Attack Name
TM01,Focus Punch
TM03,Water Pulse
TM06,Toxic
TM10,Hidden Power
TM11,Sunny Day
TM15,Hyper Beam
TM16,Light Screen
TM17,Protect
TM18,Rain Dance
TM20,Safeguard
TM21,Frustration
TM22,Solarbeam
TM27,Return
TM29,Psychic
TM30,Shadow Ball
TM31,Brick Break
TM32,Double Team
TM33,Reflect
TM34,Shock Wave
TM35,Flamethrower
TM38,Fire Blast
TM40,Aerial Ace
TM42,Facade
TM43,Secret Power
TM44,Rest
TM45,Attract
TM47,Steel Wing
HM02,Fly
HM05,Flash
HM06,Rock Smash
DM01,Horizontal Cut
DM02,Vacuum Cut
