TM/HM #,Attack Name
TM02,Dragon Claw
TM03,Water Pulse
TM05,Roar
TM06,Toxic
TM08,Bulk Up
TM10,Hidden Power
TM11,Sunny Day
TM13,Ice Beam
TM14,Blizzard
TM15,Hyper Beam
TM17,Protect
TM18,Rain Dance
TM21,Frustration
TM22,Solarbeam
TM23,Iron Tail
TM24,Thunderbolt
TM26,Earthquake
TM27,Return
TM31,Brick Break
TM32,Double Team
TM34,Shock Wave
TM35,Flamethrower
TM37,Sandstorm
TM38,Fire Blast
TM40,Aerial Ace
TM42,Facade
TM43,Secret Power
TM44,Rest
TM50,Overheat
HM02,Fly
HM03,Surf
HM04,Strength
HM06,Rock Smash
HM07,Waterfall
HM08,Dive
DM01,Horizontal Cut
DM02,Vacuum Cut
