TM/HM #,Attack Name
TM01,Focus Punch
TM03,Water Pulse
TM05,Roar
TM06,Toxic
TM08,Bulk Up
TM10,Hidden Power
TM11,Sunny Day
TM12,Taunt
TM17,Protect
TM18,Rain Dance
TM21,Frustration
TM22,Solarbeam
TM24,Thunderbolt
TM26,Earthquake
TM27,Return
TM28,Dig
TM30,Shadow Ball
TM31,Brick Break
TM32,Double Team
TM34,Shock Wave
TM35,Flamethrower
TM36,Sludge Bomb
TM38,Fire Blast
TM41,Torment
TM42,Facade
TM43,Secret Power
TM44,Rest
TM45,Attract
TM46,Thief
TM50,Overheat
HM04,Strength
HM06,Rock Smash
DM01,Horizontal Cut
DM02,Vacuum Cut
