TM/HM #,Attack Name
TM04,Calm Mind
TM05,Roar
TM06,Toxic
TM10,Hidden Power
TM11,Sunny Day
TM15,Hyper Beam
TM16,Light Screen
TM17,Protect
TM18,Rain Dance
TM19,Giga Drain
TM20,Safeguard
TM21,Frustration
TM22,Solarbeam
TM24,Thunderbolt
TM26,Earthquake
TM27,Return
TM29,Psychic
TM30,Shadow Ball
TM32,Double Team
TM33,Reflect
TM34,Shock Wave
TM35,Flamethrower
TM37,Sandstorm
TM38,Fire Blast
TM40,Aerial Ace
TM42,Facade
TM43,Secret Power
TM44,Rest
TM47,Steel Wing
TM50,Overheat
HM02,Fly
HM04,Strength
HM05,Flash
HM06,Rock Smash
DM01,Horizontal Cut
DM02,Vacuum Cut
