TM/HM #,Attack Name
TM01,Focus Punch
TM03,Water Pulse
TM04,Calm Mind
TM06,Toxic
TM07,Hail
TM10,Hidden Power
TM11,Sunny Day
TM13,Ice Beam
TM14,Blizzard
TM15,Hyper Beam
TM17,Protect
TM18,Rain Dance
TM20,Safeguard
TM21,Frustration
TM23,Iron Tail
TM26,Earthquake
TM27,Return
TM28,Dig
TM29,Psychic
TM30,Shadow Ball
TM31,Brick Break
TM32,Double Team
TM35,Flamethrower
TM38,Fire Blast
TM42,Facade
TM43,Secret Power
TM44,Rest
TM45,Attract
TM48,Skill Swap
HM03,Surf
HM04,Strength
HM05,Flash
HM06,Rock Smash
HM08,Dive
DM01,Horizontal Cut
DM02,Vacuum Cut
